
SPDR S&P 500 ETF Trust,Last: 519.05,Change:  0.62
"Date: April 8, 2024 at 11:57 AM EDT",Bid: 519.04,Ask: 519.05,Size: 1*7,"Volume: 14,688,315"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Apr 08 2024,SPY240408C00510000,8.8,0.34,8.9,9.29,108,0.3777,0.9902,0.0067,559,510.00,SPY240408P00510000,0.02,-0.165,0.01,0.02,13070,0.3287,-0.0098,0.0067,26249
Mon Apr 08 2024,SPY240408C00511000,7.86,0.335,8.01,8.13,33,0.2958,0.9867,0.0093,373,511.00,SPY240408P00511000,0.02,-0.225,0.02,0.03,34549,0.3184,-0.0133,0.0093,6211
Mon Apr 08 2024,SPY240408C00512000,6.87,0.255,7.02,7.14,186,0.2836,0.9803,0.0138,790,512.00,SPY240408P00512000,0.03,-0.295,0.03,0.04,34008,0.2995,-0.0197,0.0138,16658
Mon Apr 08 2024,SPY240408C00513000,5.78,0.065,6.04,6.15,259,0.269,0.9692,0.0213,1528,513.00,SPY240408P00513000,0.04,-0.405,0.04,0.05,31756,0.275,-0.0308,0.0213,17484
Mon Apr 08 2024,SPY240408C00514000,5.09,0.21,5.06,5.17,626,0.2501,0.9507,0.0331,2567,514.00,SPY240408P00514000,0.05,-0.55,0.05,0.06,35569,0.2462,-0.0493,0.0331,11674
Mon Apr 08 2024,SPY240408C00515000,4.22,0.14,4.09,4.19,5838,0.2264,0.9214,0.0508,6487,515.00,SPY240408P00515000,0.08,-0.725,0.09,0.1,54285,0.2326,-0.0786,0.0508,18950
Mon Apr 08 2024,SPY240408C00516000,3.23,-0.1,3.15,3.24,4372,0.2083,0.8756,0.077,4709,516.00,SPY240408P00516000,0.15,-0.91,0.14,0.15,57751,0.2106,-0.1244,0.077,10580
Mon Apr 08 2024,SPY240408C00517000,2.3,-0.345,2.28,2.34,9084,0.1955,0.802,0.1144,5901,517.00,SPY240408P00517000,0.26,-1.115,0.25,0.26,101624,0.1956,-0.198,0.1144,13909
Mon Apr 08 2024,SPY240408C00518000,1.5,-0.53,1.48,1.52,38847,0.1808,0.6833,0.16,7866,518.00,SPY240408P00518000,0.45,-1.31,0.44,0.45,151917,0.1798,-0.3167,0.16,8427
Mon Apr 08 2024,SPY240408C00519000,0.86,-0.64,0.84,0.85,145648,0.1701,0.5115,0.1922,10506,519.00,SPY240408P00519000,0.79,-1.44,0.79,0.8,161148,0.1691,-0.4885,0.1922,10939
Mon Apr 08 2024,SPY240408C00520000,0.4,-0.65,0.4,0.41,195906,0.1621,0.3188,0.179,10504,520.00,SPY240408P00520000,1.36,-1.42,1.34,1.36,93678,0.1611,-0.6812,0.179,5310
Mon Apr 08 2024,SPY240408C00521000,0.17,-0.525,0.16,0.17,86516,0.1603,0.1669,0.1248,10225,521.00,SPY240408P00521000,2.1,-1.325,2.09,2.15,13272,0.1605,-0.8331,0.1248,4774
Mon Apr 08 2024,SPY240408C00522000,0.08,-0.355,0.07,0.08,56378,0.1711,0.0836,0.0724,14498,522.00,SPY240408P00522000,2.96,-1.19,2.98,3.05,7504,0.1686,-0.9164,0.0724,3214
Mon Apr 08 2024,SPY240408C00523000,0.04,-0.215,0.03,0.04,67558,0.1832,0.0455,0.0412,16233,523.00,SPY240408P00523000,3.95,-1.02,3.93,4.02,2583,0.1786,-0.9545,0.0412,4640
Mon Apr 08 2024,SPY240408C00524000,0.02,-0.115,0.02,0.03,27182,0.2081,0.0263,0.024,12067,524.00,SPY240408P00524000,5.2,-0.67,4.92,5.03,1924,0.2151,-0.9737,0.024,2435
Mon Apr 08 2024,SPY240408C00525000,0.01,-0.065,0.01,0.02,27529,0.2251,0.0157,0.0144,22821,525.00,SPY240408P00525000,6.4,-0.425,5.75,6.14,318,0,-0.9843,0.0144,110
Mon Apr 08 2024,SPY240408C00526000,0.02,-0.025,0.01,0.02,2915,0.2571,0.01,0.009,6807,526.00,SPY240408P00526000,7.03,-0.755,6.73,7.13,8,0,-0.99,0.009,21
Mon Apr 08 2024,SPY240408C00527000,0.01,-0.015,0.01,0.02,5550,0.2886,0.007,0.0061,4783,527.00,SPY240408P00527000,8.27,-0.47,7.73,8.13,12,0,-0.993,0.0061,16
